split,image,depth,label
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410234402446.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410234402446.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410234402446.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010057951.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010057951.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010057951.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0031_20240706141555367.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0031_20240706141555367.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0031_20240706141555367.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411011459033.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411011459033.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411011459033.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0001_20240706154812232.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0001_20240706154812232.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0001_20240706154812232.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010643130.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010643130.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010643130.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0073_20240706133436053.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0073_20240706133436053.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0073_20240706133436053.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010543032.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010543032.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010543032.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005549848.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005549848.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005549848.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410193542813.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410193542813.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410193542813.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0026_20240706134951163.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0026_20240706134951163.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0026_20240706134951163.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0049_20240706134152840.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0049_20240706134152840.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0049_20240706134152840.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010020926.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010020926.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010020926.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010254894.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010254894.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010254894.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005715002.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005715002.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005715002.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0071_20240706133701832.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0071_20240706133701832.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0071_20240706133701832.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0065_20240706000748159.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0065_20240706000748159.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0065_20240706000748159.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240412181135040.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240412181135040.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240412181135040.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0005_20240706155158344.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0005_20240706155158344.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0005_20240706155158344.txt
