epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,231.24841,2.83259,5.12181,3.25031,0,0.90695,0.35354,0.41005,0.21949,0.9134,0.35585,0.39002,0.26089,1.68558,2.38508,1.61413,0,0.070079365,0.003324515,0.003324515,0.003324515
2,464.66261,1.23772,1.43044,1.05985,0,0.54054,0.56842,0.55979,0.38209,0.49288,0.53539,0.51831,0.37136,1.08376,1.81409,1.04839,0,0.040057194,0.0066356777,0.0066356777,0.0066356777
3,657.48117,0.99448,1.16284,0.82697,0,0.5358,0.58975,0.56722,0.40125,0.50895,0.56156,0.5422,0.41124,0.99407,1.64398,1.01868,0,0.010012824,0.0099246404,0.0099246404,0.0099246404
4,844.18068,0.82832,1.06002,0.71845,0,0.57597,0.62198,0.62014,0.46539,0.56432,0.60166,0.59605,0.44941,0.88447,1.60277,0.90509,0,0.0099001,0.0099001,0.0099001,0.0099001
5,1028.7369,0.74193,0.96655,0.63688,0,0.70419,0.68019,0.7111,0.55158,0.68145,0.66951,0.68747,0.51673,0.72954,1.26962,0.74288,0,0.0098668,0.0098668,0.0098668,0.0098668
6,1220.7526,0.68061,0.91808,0.60207,0,0.66788,0.6937,0.69009,0.54566,0.6818,0.66582,0.67916,0.52395,0.70345,1.1988,0.71719,0,0.0098335,0.0098335,0.0098335,0.0098335
7,1410.2918,0.63805,0.82116,0.56208,0,0.72834,0.7291,0.75324,0.60565,0.71605,0.71803,0.73899,0.5714,0.63939,1.12286,0.64986,0,0.0098002,0.0098002,0.0098002,0.0098002
8,1599.1498,0.61624,0.81521,0.54608,0,0.75921,0.73952,0.77897,0.63427,0.76677,0.73048,0.76644,0.60529,0.6131,1.03306,0.60998,0,0.0097669,0.0097669,0.0097669,0.0097669
9,1791.2439,0.60594,0.79978,0.52496,0,0.76739,0.74573,0.78646,0.64217,0.7665,0.7385,0.77744,0.61248,0.60361,0.97834,0.59667,0,0.0097336,0.0097336,0.0097336,0.0097336
10,1980.0752,0.58202,0.72053,0.49951,0,0.7872,0.75718,0.79894,0.65138,0.78344,0.74586,0.78523,0.61801,0.59356,1.00298,0.56643,0,0.0097003,0.0097003,0.0097003,0.0097003
11,2175.7426,0.55733,0.68755,0.46561,0,0.74946,0.76914,0.79236,0.65628,0.75869,0.76046,0.78502,0.62521,0.57497,1.00919,0.56589,0,0.009667,0.009667,0.009667,0.009667
12,2368.1646,0.56143,0.69469,0.46726,0,0.81278,0.80317,0.84171,0.699,0.80941,0.7974,0.83447,0.66437,0.55009,0.86451,0.50092,0,0.0096337,0.0096337,0.0096337,0.0096337
13,2682.6354,0.55878,0.68382,0.48086,0,0.81353,0.80952,0.84926,0.70589,0.81445,0.80433,0.84425,0.68112,0.53613,0.8367,0.48657,0,0.0096004,0.0096004,0.0096004,0.0096004
14,3117.9658,0.53862,0.6632,0.45394,0,0.84511,0.7735,0.84054,0.70473,0.8517,0.7681,0.83685,0.67744,0.54051,0.88731,0.50145,0,0.0095671,0.0095671,0.0095671,0.0095671
15,3445.1283,0.53285,0.65594,0.45302,0,0.82104,0.81978,0.85481,0.72155,0.81975,0.81619,0.85115,0.69013,0.51338,0.82324,0.46712,0,0.0095338,0.0095338,0.0095338,0.0095338
16,3631.9088,0.53248,0.64489,0.43203,0,0.7974,0.76834,0.8092,0.67674,0.79656,0.76533,0.80409,0.64295,0.55046,0.93498,0.52569,0,0.0095005,0.0095005,0.0095005,0.0095005
17,3957.0168,0.51784,0.62636,0.4277,0,0.8465,0.80881,0.85564,0.72011,0.84903,0.80798,0.8551,0.68842,0.51429,0.81893,0.47005,0,0.0094672,0.0094672,0.0094672,0.0094672
18,4353.0726,0.51301,0.62228,0.42076,0,0.83384,0.7984,0.84473,0.71083,0.83317,0.78538,0.84016,0.66941,0.5121,0.85942,0.48105,0,0.0094339,0.0094339,0.0094339,0.0094339
19,4758.146,0.50252,0.59322,0.41831,0,0.87103,0.81045,0.86971,0.74096,0.86531,0.80892,0.86694,0.71174,0.48888,0.78069,0.44775,0,0.0094006,0.0094006,0.0094006,0.0094006
20,5150.3396,0.50018,0.59418,0.4145,0,0.85677,0.84271,0.88132,0.7516,0.855,0.83855,0.87742,0.72669,0.48298,0.74478,0.43021,0,0.0093673,0.0093673,0.0093673,0.0093673
21,5540.3679,0.49251,0.5679,0.40901,0,0.86252,0.82887,0.87645,0.75477,0.87261,0.82143,0.87606,0.72386,0.47536,0.73942,0.42973,0,0.009334,0.009334,0.009334,0.009334
22,5947.2718,0.49012,0.57965,0.40551,0,0.85052,0.8422,0.87775,0.75006,0.85117,0.83691,0.87628,0.72067,0.47964,0.74504,0.42902,0,0.0093007,0.0093007,0.0093007,0.0093007
23,6303.4238,0.48639,0.57096,0.39687,0,0.86291,0.84174,0.88616,0.76426,0.87549,0.83117,0.88712,0.73451,0.46417,0.72141,0.41076,0,0.0092674,0.0092674,0.0092674,0.0092674
